Property_ID,Title,Property_Type,Purpose,Category,Price_AED,Rent_Frequency,Bedrooms,Bathrooms,Area_SQFT,Price_Per_SQFT,Community,City,Tier,Latitude,Longitude,Furnished,Completion_Status,Agency,Date_Listed,Date_Extracted,Price_Category,Bedroom_Label
PF100001,Studio Apartment in Jumeirah Beach Residence,Studio,For Rent,Residential,60524,Yearly,0,1,1303,46.45,Jumeirah Beach Residence,Dubai,Luxury,25.070664,55.137629,Semi-Furnished,Ready,Savills UAE,2025-01-12,2025-02-20,Mid-Tier,Studio
PF100002,Studio Apartment in Bur Dubai,Studio,For Rent,Residential,13476,Yearly,0,1,683,19.73,Bur Dubai,Dubai,Affordable,25.247573,55.297307,Semi-Furnished,Ready,CBRE UAE,2024-02-14,2025-02-20,Affordable,Studio
PF100003,1 BR Penthouse in Bur Dubai,Penthouse,For Rent,Residential,30261,Yearly,1,1,326,92.83,Bur Dubai,Dubai,Affordable,25.258376,55.290393,Unfurnished,Off-Plan,Espace Real Estate,2024-09-04,2025-02-20,Affordable,1 Bedroom
PF100004,2 BR Apartment in Jumeirah Lake Towers,Apartment,For Rent,Residential,45970,Yearly,2,2,1856,24.77,Jumeirah Lake Towers,Dubai,Mid-Tier,25.060534,55.14705,Unfurnished,Ready,Engel & Völkers,2024-12-06,2025-02-20,Affordable,2 Bedrooms
PF100005,Studio Apartment in Dubai Production City,Studio,For Rent,Residential,27110,Yearly,0,1,1850,14.65,Dubai Production City,Dubai,Affordable,25.025676,55.191864,Semi-Furnished,Off-Plan,Savills UAE,2024-12-18,2025-02-20,Affordable,Studio
PF100006,Studio Apartment in Jumeirah Lake Towers,Studio,For Rent,Residential,24001,Yearly,0,1,1233,19.47,Jumeirah Lake Towers,Dubai,Mid-Tier,25.074061,55.149804,Furnished,Off-Plan,Driven Properties,2024-05-30,2025-02-20,Affordable,Studio
PF100007,2 BR Villa in Al Nahda,Villa,For Rent,Residential,27117,Yearly,2,2,3260,8.32,Al Nahda,Dubai,Affordable,25.28609,55.37474,Semi-Furnished,Ready,Savills UAE,2025-01-15,2025-02-20,Affordable,2 Bedrooms
PF100008,4 BR Villa in Dubai Hills Estate,Villa,For Rent,Residential,122125,Yearly,4,4,4136,29.53,Dubai Hills Estate,Dubai,Mid-Tier,25.111489,55.24779,Semi-Furnished,Ready,Fäm Properties,2024-12-24,2025-02-20,Premium,4 Bedrooms
PF100009,1 BR Apartment in Downtown Dubai,Apartment,For Rent,Residential,91942,Yearly,1,1,1943,47.32,Downtown Dubai,Dubai,Luxury,25.192555,55.26862,Semi-Furnished,Off-Plan,Provident Estate,2024-11-17,2025-02-20,Mid-Tier,1 Bedroom
PF100010,3 BR Penthouse in Arjan,Penthouse,For Rent,Residential,44835,Yearly,3,3,1384,32.4,Arjan,Dubai,Affordable,25.037593,55.2159,Unfurnished,Off-Plan,Savills UAE,2024-11-02,2025-02-20,Affordable,3 Bedrooms
PF100011,2 BR Villa in Deira,Villa,For Rent,Residential,22078,Yearly,2,2,4524,4.88,Deira,Dubai,Affordable,25.26957,55.314616,Furnished,Ready,Coldwell Banker,2024-03-28,2025-02-20,Affordable,2 Bedrooms
